trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price
0,2023-02-16 14:15:00,24412.4,2023-02-16 15:45:00,24856.710714285717,take_profit,33.760158190455726,15000.000000000124,1.8200206218385542,False,0.5,0.5,6,100000.0,115000.00000000012,24234.675714285717,24856.710714285717
1,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,52.72473920084359,15000.000000000096,1.1562310400984757,False,0.5,0.5,29,115000.00000000012,130000.00000000022,24535.414285714287,24889.99642857143
2,2023-04-28 08:30:00,29199.9,2023-04-28 13:30:00,29089.885714285712,stop_loss,45.81631584459145,-5040.449261702996,-0.37676254272887627,False,0.5,0.5,20,130000.00000000022,124959.55073829723,29089.885714285712,29609.14285714286
3,2023-05-06 08:00:00,29245.0,2023-05-06 10:15:00,29208.314285714285,stop_loss,60.33650530961178,-2213.4877947869572,-0.1254426886158838,False,0.5,0.5,9,124959.55073829723,122746.06294351027,29208.314285714285,29555.757142857146
4,2023-05-06 10:15:00,29201.8,2023-05-06 12:15:00,29190.678571428572,stop_loss,45.23278730897248,-503.05321314327836,-0.03808473645948813,False,0.5,0.5,8,122746.06294351027,122243.00973036699,29190.678571428572,29533.417857142857
5,2023-05-18 13:00:00,27193.8,2023-05-18 14:45:00,27068.18571428571,stop_loss,59.706584783349456,-7500.0,-0.4619225180529668,False,0.75,0.25,7,122243.00973036699,114743.00973036699,27068.18571428571,27507.835714285717
6,2023-05-23 17:30:00,27205.2,2023-05-23 19:00:00,27099.282857142858,stop_loss,56.64805373472539,-6000.0,-0.3893268303748644,False,0.75,0.75,6,114743.00973036699,108743.00973036699,27099.282857142858,27469.99285714286
7,2023-05-23 19:00:00,27168.0,2023-05-24 00:45:00,27113.578571428574,stop_loss,72.43677304524081,-3942.1126702261745,-0.20031444556620318,False,0.75,0.75,23,108743.00973036699,104800.89706014082,27113.578571428574,27426.84642857143
8,2023-05-29 15:30:00,27663.8,2023-05-29 22:15:00,27542.621428571427,stop_loss,49.50214980764906,-5998.599796334097,-0.4380402237891124,False,0.75,0.75,27,104800.89706014082,98802.29726380673,27542.621428571427,28042.571428571428
9,2023-05-29 22:15:00,27572.1,2023-05-29 23:00:00,27800.860714285714,take_profit,65.57069926467045,14999.999999999882,0.8296818678508925,False,0.75,0.75,3,98802.29726380673,113802.29726380661,27480.59571428571,27800.860714285714
10,2023-05-30 00:30:00,27655.9,2023-05-30 05:00:00,27684.435714285715,stop_loss,54.5630280921642,1556.9949802013716,0.10318128965506008,False,0.75,0.75,18,113802.29726380661,115359.29224400799,27684.435714285715,27999.539285714287
11,2023-06-07 09:45:00,26476.5,2023-06-07 11:30:00,26898.664285714283,take_profit,44.413989137606904,18749.999999999756,1.5944867551008757,False,0.75,0.25,7,115359.29224400799,134109.29224400775,26307.634285714284,26898.664285714283
12,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,75.67158531971161,14999.999999999724,0.7506589211869615,False,0.75,0.75,19,134109.29224400775,149109.29224400746,26439.821428571428,26605.024999999998
13,2023-06-20 14:15:00,26659.0,2023-06-20 15:45:00,27012.25,take_profit,53.07855626326991,18750.000000000095,1.3250684571814397,False,0.5,0.5,6,149109.29224400746,167859.29224400755,26517.7,27012.25
14,2023-06-22 14:30:00,29723.0,2023-06-22 22:45:00,29877.899999999998,stop_loss,24.536608620061095,3800.72067524741,0.5211452410591052,False,0.5,0.25,33,167859.29224400755,171660.01291925495,29877.899999999998,30487.164285714287
15,2023-06-24 15:45:00,30390.9,2023-06-24 21:00:00,30422.692857142854,stop_loss,41.74419159391239,1327.1671198891368,0.1046130820174884,False,0.5,0.5,21,171660.01291925495,172987.1800391441,30422.692857142854,30840.06428571429
16,2023-07-04 16:45:00,30946.8,2023-07-04 19:00:00,30813.75,stop_loss,47.53755466818774,-6324.871648602344,-0.4299313660863135,False,0.5,0.5,9,172987.1800391441,166662.30839054176,30813.75,31341.225
17,2023-07-14 17:00:00,31087.1,2023-07-14 17:15:00,30909.91571428571,stop_loss,42.32881019761467,-7500.0,-0.5699608059751067,False,0.5,0.5,1,166662.30839054176,159162.30839054176,30909.91571428571,31530.060714285715
18,2023-07-14 17:15:00,30915.8,2023-07-14 17:45:00,30716.617142857143,stop_loss,37.65384284361844,-7500.000000000001,-0.6442752804160201,False,0.5,0.5,2,159162.30839054176,151662.30839054176,30716.617142857143,31413.757142857143
19,2023-08-30 13:30:00,27284.9,2023-08-30 14:45:00,27140.025714285715,stop_loss,51.76902141758358,-7499.999999999999,-0.5309687252446814,False,0.75,0.75,5,151662.30839054176,144162.30839054176,27140.025714285715,27647.085714285717
20,2023-08-30 14:45:00,27096.1,2023-08-31 02:15:00,27189.1,pos_exit,33.35429889263708,3101.949797015249,0.34322282542506116,False,0.75,-0.25,46,144162.30839054176,147264.25818755702,27074.992857142857,27658.246428571427
21,2023-10-24 18:15:00,33551.0,2023-10-24 21:00:00,33569.264285714286,stop_loss,10.602336644842417,193.64410572044108,0.05443738104463505,False,1.0,1.0,11,147264.25818755702,147457.90229327747,33569.264285714286,35340.69982142857
22,2023-10-26 06:00:00,34486.9,2023-10-26 10:00:00,34346.32,stop_loss,53.35040546308086,-7500.000000000001,-0.4076330432715081,False,0.5,0.5,16,147457.90229327747,139957.90229327747,34346.32,34838.35
23,2023-10-26 10:00:00,34426.0,2023-10-26 10:45:00,34216.479999999996,stop_loss,35.796105383733554,-7500.0,-0.608609771684204,False,0.5,0.5,3,139957.90229327747,132457.90229327747,34216.479999999996,34949.8
24,2023-10-30 05:15:00,34253.2,2023-10-30 07:15:00,34223.69285714286,stop_loss,45.88659455915969,-1353.9823008847475,-0.08614419341007298,False,0.5,0.5,8,132457.90229327747,131103.9199923927,34223.69285714286,34580.09285714285
25,2024-01-05 12:15:00,43919.0,2024-01-05 13:15:00,43907.0,pos_exit,18.075524706659948,-216.90629647991938,-0.027323026480566497,False,0.75,-0.25,4,131103.9199923927,130887.01369591278,43504.07428571428,44956.31428571428
26,2024-01-05 14:45:00,43489.6,2024-01-08 02:45:00,43308.1,stop_loss,15.784963694583446,-2864.9709105668953,-0.4173411574261433,False,0.75,0.5,240,130887.01369591278,128022.0427853459,43308.1,44677.43928571429
27,2024-01-27 08:45:00,41455.4,2024-01-27 19:30:00,41894.889285714286,take_profit,42.66315609839395,18750.000000000156,1.0601496685939202,False,0.75,0.75,43,128022.0427853459,146772.04278534604,41578.228571428575,41894.889285714286
28,2024-01-31 00:45:00,42913.0,2024-01-31 09:30:00,42761.49285714285,stop_loss,21.66146228936316,-3281.8662615692338,-0.35305651634037793,False,1.25,1.25,35,146772.04278534604,143490.1765237768,42761.49285714285,43788.97964285714
29,2024-02-02 14:30:00,42759.3,2024-02-02 16:00:00,43442.69571428571,take_profit,27.76575796913365,18975.000000000255,1.5982387791327515,False,1.25,1.25,6,143490.1765237768,162465.17652377707,42521.59714285715,43442.69571428571
30,2024-02-10 10:45:00,46872.6,2024-02-10 13:30:00,47084.05,stop_loss,43.37050805452283,9170.693928129042,0.451116430494584,False,1.0,1.0,11,162465.17652377707,171635.8704519061,47084.05,47419.486607142855
31,2024-02-13 11:00:00,49730.4,2024-02-13 13:15:00,49760.97142857143,stop_loss,32.36490803322256,989.4414741584847,0.0614743267124888,False,1.25,1.25,9,171635.8704519061,172625.3119260646,49760.97142857143,50463.25392857143
32,2024-02-13 13:30:00,49565.7,2024-02-13 14:00:00,49229.99999999999,stop_loss,24.575513851652943,-8250.0,-0.6772828790877652,False,1.25,1.25,2,172625.3119260646,164375.3119260646,49229.99999999999,50530.8375
33,2024-02-13 14:00:00,49159.9,2024-02-13 14:15:00,48729.55857142857,stop_loss,19.170824494836193,-8250.000000000002,-0.8753911797449377,False,1.25,1.5,1,164375.3119260646,156125.3119260646,48729.55857142857,50397.13160714287
34,2024-02-25 16:15:00,51498.9,2024-02-26 03:00:00,51440.10714285714,stop_loss,40.6529819226213,-2390.1049586080985,-0.11416332609602106,False,1.0,1.0,43,156125.3119260646,153735.2069674565,51440.10714285714,52082.34428571429
