trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price
0,2023-02-16 14:15:00,24412.4,2023-02-16 15:45:00,24856.710714285717,take_profit,33.760158190455726,15000.000000000124,1.8200206218385542,False,0.5,0.5,6,100000.0,115000.00000000012,24234.675714285717,24856.710714285717
1,2023-02-17 02:00:00,23787.0,2023-02-17 20:00:00,24578.196428571428,take_profit,18.95862956192022,14999.999999999965,3.326171558294142,False,0.5,0.5,72,115000.00000000012,130000.00000000009,23470.52142857143,24578.196428571428
2,2023-02-18 10:00:00,24527.3,2023-02-18 18:00:00,24789.585714285713,take_profit,57.18954248365945,14999.999999999793,1.06936236065818,False,0.5,0.5,32,130000.00000000009,144999.99999999988,24422.385714285712,24789.585714285713
3,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,52.72473920084359,15000.000000000096,1.1562310400984757,False,0.5,0.5,29,144999.99999999988,159999.99999999997,24491.70142857143,24889.99642857143
4,2023-03-15 03:30:00,24753.9,2023-03-15 05:00:00,24858.4,pos_exit,20.80361388492636,2173.9776509748044,0.4221557007178666,False,0.5,-0.5,6,159999.99999999997,162173.97765097476,24465.488571428574,25474.928571428572
5,2023-03-15 06:00:00,24705.6,2023-03-15 06:45:00,24799.9,pos_exit,35.98046774608072,3392.9581084555166,0.38169483841721275,False,0.5,-0.5,3,162173.97765097476,165566.9357594303,24538.842857142856,25122.492857142854
6,2023-03-15 08:15:00,24814.8,2023-03-15 08:45:00,24768.8,pos_exit,32.61350665082588,-1500.2213059379906,-0.18537324499895225,False,0.5,-0.5,2,165566.9357594303,164066.71445349228,24630.827142857142,25274.73214285714
7,2023-03-15 10:15:00,24469.1,2023-03-15 12:30:00,24996.917857142857,take_profit,28.418894505003905,15000.000000000102,2.157079161648193,False,0.5,0.5,9,164066.71445349228,179066.71445349237,24257.972857142857,24996.917857142857
8,2023-03-19 00:15:00,26977.8,2023-03-19 15:00:00,27631.682142857142,take_profit,22.939913811466557,14999.999999999916,2.4237785989114857,False,0.5,0.25,59,179066.71445349237,194066.71445349228,26716.24714285714,27631.682142857142
9,2023-03-20 06:30:00,27459.1,2023-03-20 07:30:00,28068.978571428568,take_profit,24.595059906538776,14999.999999999956,2.2210435572490344,False,0.5,0.5,4,194066.71445349228,209066.71445349226,27215.14857142857,28068.978571428568
10,2023-04-28 08:30:00,29199.9,2023-04-28 13:30:00,29036.20285714286,stop_loss,36.65305267567316,-5999.999999999999,-0.5606085735127224,False,0.5,0.5,20,209066.71445349226,203066.71445349226,29036.20285714286,29609.14285714286
11,2023-05-06 08:00:00,29245.0,2023-05-06 12:30:00,29120.69714285714,stop_loss,48.26920424768942,-6000.0,-0.4250396893241872,False,0.5,0.5,18,203066.71445349226,197066.71445349226,29120.69714285714,29555.757142857146
12,2023-05-18 13:00:00,27193.8,2023-05-18 14:45:00,27068.18571428571,stop_loss,47.76526782667956,-6000.0,-0.4619225180529668,False,0.75,0.25,7,197066.71445349226,191066.71445349226,27068.18571428571,27507.835714285717
