trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price
0,2023-02-17 02:00:00,23787.0,2023-02-17 04:30:00,23761.128571428573,stop_loss,18.95862956192022,-490.4868305233596,-0.10876288969364277,False,0.5,0.5,10,100000.0,99509.51316947665,23761.128571428573,24578.196428571428
1,2023-02-17 04:30:00,23778.3,2023-02-17 06:30:00,23641.042857142857,stop_loss,42.575190828086924,-5843.749049660841,-0.5772369885868324,False,0.5,0.5,8,99509.51316947665,93665.76411981581,23641.042857142857,24130.617857142857
2,2023-02-18 10:00:00,24527.3,2023-02-18 18:00:00,24789.585714285713,take_profit,57.18954248365945,14999.999999999793,1.06936236065818,False,0.5,0.5,32,93665.76411981581,108665.7641198156,24445.742857142857,24789.585714285713
3,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,52.72473920084359,15000.000000000096,1.1562310400984757,False,0.5,0.5,29,108665.7641198156,123665.7641198157,24535.414285714287,24889.99642857143
4,2023-03-15 03:30:00,24753.9,2023-03-15 05:00:00,24858.4,pos_exit,20.80361388492636,2173.9776509748044,0.4221557007178666,False,0.5,-0.5,6,123665.7641198157,125839.74177079051,24718.242857142857,25474.928571428572
5,2023-03-15 06:00:00,24705.6,2023-03-15 06:45:00,24799.9,pos_exit,35.98046774608072,3392.9581084555166,0.38169483841721275,False,0.5,-0.5,3,125839.74177079051,129232.69987924602,24538.842857142856,25122.492857142854
6,2023-03-15 08:15:00,24814.8,2023-03-15 08:45:00,24768.8,pos_exit,32.61350665082588,-1500.2213059379906,-0.18537324499895225,False,0.5,-0.5,2,129232.69987924602,127732.47857330804,24630.827142857142,25274.73214285714
7,2023-03-15 10:15:00,24469.1,2023-03-15 12:30:00,24996.917857142857,take_profit,28.418894505003905,15000.000000000102,2.157079161648193,False,0.5,0.5,9,127732.47857330804,142732.47857330815,24257.972857142857,24996.917857142857
8,2023-03-19 00:15:00,26977.8,2023-03-19 06:15:00,26950.57857142857,stop_loss,22.939913811466557,-624.4572252535742,-0.10090307056701803,False,0.5,0.25,24,142732.47857330815,142108.02134805458,26950.57857142857,27631.682142857142
9,2023-03-20 06:30:00,27459.1,2023-03-20 07:30:00,28068.978571428568,take_profit,24.595059906538776,14999.999999999956,2.2210435572490344,False,0.5,0.5,4,142108.02134805458,157108.02134805452,27215.14857142857,28068.978571428568
