timestamp,equity,from_tier,to_tier
2023-03-15 12:45:00,153388.92871124356,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2023-06-07 11:45:00,237388.92871124265,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2023-08-30 13:45:00,215451.42871124198,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2023-12-20 05:00:00,230151.42871124236,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-03-07 14:45:00,393130.910954369,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-03-10 01:15:00,526780.910954367,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2024-03-11 00:45:00,493180.910954367,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-04-05 09:30:00,335230.910954367,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-04-22 04:00:00,352510.2981040609,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-05-14 10:30:00,332260.2981040609,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-05-22 15:45:00,371747.7981040605,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-06-06 12:30:00,520838.423104061,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2024-06-13 03:30:00,492838.423104061,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-08-14 12:30:00,531060.2981040631,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2024-10-19 11:15:00,500260.29810406314,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-10-20 14:15:00,564300.9231040656,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2024-11-13 14:00:00,819800.9231040627,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2024-11-14 15:00:00,728600.9231040627,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2024-11-29 02:15:00,770600.9231040634,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2024-11-30 11:00:00,725000.9231040634,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2024-12-12 15:00:00,800600.9231040614,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2024-12-22 04:45:00,755000.9231040614,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-01-03 15:15:00,799800.9231040617,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-01-04 10:00:00,754200.9231040617,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-01-04 20:45:00,863400.9231040609,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-01-16 14:45:00,726600.9231040609,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-01-19 02:30:00,802200.9231040608,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-01-22 13:45:00,756600.9231040608,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-01-29 20:30:00,798600.9231040602,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-04-12 14:00:00,1316350.9231040578,Tier 6: $760k-$1200k ($38.0k risk),Tier 7: $1200k+ ($54.0k risk)
2025-04-24 08:30:00,1192150.9231040578,Tier 7: $1200k+ ($54.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-10-13 13:45:00,1241075.9231040573,Tier 6: $760k-$1200k ($38.0k risk),Tier 7: $1200k+ ($54.0k risk)
2025-10-28 03:00:00,1181675.9231040573,Tier 7: $1200k+ ($54.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-12-21 08:45:00,1204000.9231040573,Tier 6: $760k-$1200k ($38.0k risk),Tier 7: $1200k+ ($54.0k risk)
2026-01-03 07:30:00,1139200.9231040573,Tier 7: $1200k+ ($54.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2026-01-03 21:00:00,1287400.923104058,Tier 6: $760k-$1200k ($38.0k risk),Tier 7: $1200k+ ($54.0k risk)
