streak_length,max_streak_level,start_time,end_time,first_entry_price,last_exit_price,streak_high,streak_low,price_range,total_loss,num_trades
3,3,2023-04-28 08:30:00,2023-05-06 12:15:00,29199.9,29190.678571428572,29255.3,25751.0,3504.2999999999993,-6464.158558027693,3
3,3,2023-10-26 06:00:00,2023-10-30 07:15:00,34486.9,34223.69285714286,49027.5,34016.8,15010.699999999997,-13628.318584070623,3
4,3,2024-03-29 05:15:00,2024-04-05 12:00:00,70411.4,66212.83142857143,72890.4,65966.0,6924.399999999994,-18500.0,4
4,3,2024-06-26 10:00:00,2024-07-02 13:45:00,61320.0,62505.4,63167.4,53329.5,9837.900000000001,-25204.909197939254,4
6,6,2025-01-04 09:00:00,2025-01-18 08:00:00,97795.8,102403.27857142857,105784.0,88909.0,16875.0,-87248.49189382052,6
4,3,2025-06-17 07:30:00,2025-08-05 06:45:00,106612.0,114197.46428571429,120951.5,111850.0,9101.5,-57427.2263872683,4
3,3,2025-09-17 11:45:00,2025-09-30 13:00:00,116200.1,112822.44285714286,126208.5,101516.5,24692.0,-74149.41452196227,3
5,3,2025-10-28 00:00:00,2025-11-25 13:30:00,114034.1,87122.24285714285,91931.9,85226.4,6705.5,-58227.88150247623,5
