trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price,base_risk,adjusted_risk,streak_level_at_entry,consecutive_losses_at_entry,reduction_pct_at_entry,tier_at_entry
0,2023-02-17 02:00:00,23787.0,2023-02-17 04:30:00,23761.128571428573,stop_loss,15.79885796826685,-408.73902543613303,-0.10876288969364277,False,0.5,0.5,10,100000.0,99591.26097456386,23761.128571428573,24578.196428571428,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
1,2023-02-17 04:30:00,23778.3,2023-02-17 06:30:00,23641.042857142857,stop_loss,35.479325690072436,-4869.790874717367,-0.5772369885868324,False,0.5,0.5,8,99591.26097456386,94721.4700998465,23641.042857142857,24130.617857142857,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
2,2023-02-18 10:00:00,24527.3,2023-02-18 18:00:00,24789.585714285713,take_profit,47.65795206971621,12499.999999999827,1.06936236065818,False,0.5,0.5,32,94721.4700998465,107221.47009984632,24445.742857142857,24789.585714285713,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk)
3,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,43.93728266736966,12500.00000000008,1.1562310400984757,False,0.5,0.5,29,107221.47009984632,119721.4700998464,24535.414285714287,24889.99642857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
4,2023-03-15 03:30:00,24753.9,2023-03-15 05:00:00,24858.4,pos_exit,17.3363449041053,1811.6480424790038,0.4221557007178666,False,0.5,-0.5,6,119721.4700998464,121533.1181423254,24718.242857142857,25474.928571428572,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
5,2023-03-15 06:00:00,24705.6,2023-03-15 06:45:00,24799.9,pos_exit,29.983723121733934,2827.4650903795973,0.38169483841721275,False,0.5,-0.5,3,121533.1181423254,124360.583232705,24538.842857142856,25122.492857142854,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
6,2023-03-15 08:15:00,24814.8,2023-03-15 08:45:00,24768.8,pos_exit,27.177922209021567,-1250.184421614992,-0.18537324499895225,False,0.5,-0.5,2,124360.583232705,123110.39881109001,24630.827142857142,25274.73214285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
7,2023-03-15 10:15:00,24469.1,2023-03-15 12:30:00,24996.917857142857,take_profit,23.682412087503256,12500.000000000085,2.157079161648193,False,0.5,0.5,9,123110.39881109001,135610.3988110901,24257.972857142857,24996.917857142857,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
8,2023-03-19 00:15:00,26977.8,2023-03-19 06:15:00,26950.57857142857,stop_loss,19.116594842888798,-520.3810210446452,-0.10090307056701803,False,0.5,0.25,24,135610.3988110901,135090.01779004544,26950.57857142857,27631.682142857142,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
9,2023-03-20 06:30:00,27459.1,2023-03-20 07:30:00,28068.978571428568,take_profit,20.49588325544898,12499.999999999964,2.2210435572490344,False,0.5,0.5,4,135090.01779004544,147590.01779004541,27215.14857142857,28068.978571428568,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
10,2023-04-28 08:30:00,29199.9,2023-04-28 13:30:00,29089.885714285712,stop_loss,30.544210563060968,-3360.299507801998,-0.37676254272887627,False,0.5,0.5,20,147590.01779004541,144229.7182822434,29089.885714285712,29609.14285714286,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
11,2023-05-06 08:00:00,29245.0,2023-05-06 10:15:00,29208.314285714285,stop_loss,40.22433687307452,-1475.6585298579714,-0.1254426886158838,False,0.5,0.5,9,144229.7182822434,142754.05975238545,29208.314285714285,29555.757142857146,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
12,2023-05-06 10:15:00,29201.8,2023-05-06 12:15:00,29190.678571428572,stop_loss,37.69398942414373,-419.2110109527319,-0.03808473645948813,False,0.5,0.5,8,142754.05975238545,142334.8487414327,29190.678571428572,29533.417857142857,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk)
13,2023-05-30 00:15:00,27661.8,2023-05-30 05:00:00,27689.628571428573,stop_loss,24.032684450852823,668.7952758609357,0.10060289434734516,False,0.75,0.75,19,142334.8487414327,143003.64401729364,27689.628571428573,27973.875,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk)
14,2023-06-07 09:45:00,26476.5,2023-06-07 10:00:00,26486.801428571427,stop_loss,29.609326091737938,305.018357782131,0.038907818523698734,False,0.75,0.25,1,143003.64401729364,143308.66237507577,26486.801428571427,26898.664285714283,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
15,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,63.059654433093016,12499.99999999977,0.7506589211869615,False,0.75,0.75,19,143308.66237507577,155808.66237507554,26439.821428571428,26605.024999999998,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
16,2023-06-22 06:15:00,30120.6,2023-06-22 11:00:00,30003.057142857142,stop_loss,61.20562592120662,-7194.2841439955055,-0.3902407559705202,False,0.5,0.5,19,155808.66237507554,148614.37823108005,30003.057142857142,30549.48214285714,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
17,2023-06-24 07:30:00,30593.6,2023-06-24 15:15:00,30539.02857142857,stop_loss,49.88313095034443,-2722.193717575887,-0.1783753091216056,False,0.5,0.5,31,148614.37823108005,145892.18451350415,30539.02857142857,30844.185714285715,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
18,2023-06-28 04:00:00,30416.3,2023-06-28 06:00:00,30358.22142857143,stop_loss,35.8852901069381,-2084.166384710771,-0.19094555034165986,False,0.5,0.5,8,145892.18451350415,143808.01812879337,30358.22142857143,30764.632142857146,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk)
19,2023-08-30 09:15:00,27327.5,2023-08-30 11:15:00,27384.907142857144,stop_loss,36.647295953091536,2103.8165541071685,0.21007096462224575,False,0.75,0.75,8,143808.01812879337,145911.83468290055,27384.907142857144,27532.153571428567,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk)
20,2023-08-30 11:30:00,27329.4,2023-08-30 13:00:00,27355.12142857143,stop_loss,55.94718585655205,1439.0415447817657,0.09411633102603417,False,0.75,0.75,6,145911.83468290055,147350.8762276823,27355.12142857143,27552.824999999997,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
21,2023-10-25 02:30:00,33963.8,2023-10-25 07:15:00,33854.75714285714,stop_loss,15.692393224472978,-1711.1433926058507,-0.32105611604962864,False,0.5,1.0,19,147350.8762276823,145639.73283507646,33854.75714285714,34760.364285714284,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
22,2023-10-26 06:00:00,34486.9,2023-10-26 10:00:00,34346.32,stop_loss,35.566936975387236,-5000.0,-0.4076330432715081,False,0.5,0.5,16,145639.73283507646,140639.73283507646,34346.32,34838.35,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
23,2023-10-26 10:00:00,34426.0,2023-10-26 10:45:00,34216.479999999996,stop_loss,23.86407025582237,-5000.0,-0.608609771684204,False,0.5,0.5,3,140639.73283507646,135639.73283507646,34216.479999999996,34949.8,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk)
24,2023-11-10 04:00:00,36727.1,2023-11-10 06:45:00,36608.25,stop_loss,18.507835785020525,-2199.6562830496623,-0.3236030070438411,False,1.0,1.0,11,135639.73283507646,133440.0765520268,36608.25,37239.72071428571,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk)
25,2023-12-20 01:30:00,42332.3,2023-12-20 04:45:00,42828.360714285714,take_profit,15.11911704356496,7500.00000000011,1.1718255664958237,False,0.75,0.5,13,133440.0765520268,140940.0765520269,42344.14285714286,42828.360714285714,5000,3000.0,3,4,0.4,Tier 1: $0k-$150k ($5.0k risk)
26,2023-12-21 08:45:00,43709.9,2023-12-21 13:45:00,44266.42142857143,take_profit,22.46095003401216,12500.0,1.273215972975074,False,0.5,0.5,20,140940.0765520269,153440.0765520269,43732.75714285714,44266.42142857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
