timestamp,symbol,open,high,low,close,volume,quote_volume
2026-01-21 10:15:00+00:00,BTCUSDT,89261.5,89316.4,89254.9,89316.3,112.632,10055942.1298
2026-01-21 10:20:00+00:00,BTCUSDT,89316.4,89350.0,89241.1,89271.9,157.149,14032686.4195
2026-01-21 10:25:00+00:00,BTCUSDT,89271.9,89297.0,89242.2,89289.8,110.423,9857571.7629
2026-01-21 10:30:00+00:00,BTCUSDT,89289.8,89311.7,89248.6,89296.8,109.971,9818672.5371
2026-01-21 10:35:00+00:00,BTCUSDT,89296.8,89332.7,89195.9,89326.8,157.745,14079324.1498
2026-01-21 10:40:00+00:00,BTCUSDT,89326.8,89356.5,89264.8,89273.9,109.211,9754405.899
2026-01-21 10:45:00+00:00,BTCUSDT,89273.9,89274.0,89219.0,89270.6,78.326,6990020.1823
2026-01-21 10:50:00+00:00,BTCUSDT,89270.5,89280.0,89228.7,89228.7,84.982,7585632.7794
2026-01-21 10:55:00+00:00,BTCUSDT,89228.7,89244.3,89191.7,89201.0,119.305,10644021.2631
2026-01-21 11:00:00+00:00,BTCUSDT,89200.8,89200.9,89119.1,89127.1,139.198,12408699.9338
2026-01-21 11:05:00+00:00,BTCUSDT,89127.1,89191.7,89107.6,89191.6,111.711,9957818.8254
2026-01-21 11:10:00+00:00,BTCUSDT,89191.7,89270.0,89191.1,89262.5,141.746,12649964.5089
2026-01-21 11:15:00+00:00,BTCUSDT,89262.4,89334.6,89240.4,89334.6,129.622,11572854.8234
2026-01-21 11:20:00+00:00,BTCUSDT,89334.5,89350.3,89305.8,89321.5,146.751,13109526.7148
2026-01-21 11:25:00+00:00,BTCUSDT,89321.5,89338.3,89276.3,89289.5,82.535,7371176.1151
2026-01-21 11:30:00+00:00,BTCUSDT,89289.5,89300.0,89260.0,89296.1,90.156,8049674.9994
2026-01-21 11:35:00+00:00,BTCUSDT,89296.1,89296.1,89215.9,89230.0,103.291,9217766.3734
2026-01-21 11:40:00+00:00,BTCUSDT,89230.0,89241.6,89190.0,89241.5,80.538,7186150.531
2026-01-21 11:45:00+00:00,BTCUSDT,89241.4,89260.0,89062.9,89114.3,228.228,20347059.1715
2026-01-21 11:50:00+00:00,BTCUSDT,89114.3,89114.4,88907.4,88913.7,767.531,68303232.721
2026-01-21 11:55:00+00:00,BTCUSDT,88913.6,88958.1,88614.1,88757.1,2451.828,217652472.4664
2026-01-21 12:00:00+00:00,BTCUSDT,88757.0,88817.8,88679.1,88717.9,1053.607,93506429.3509
2026-01-21 12:05:00+00:00,BTCUSDT,88717.9,88809.0,88542.6,88566.9,1237.554,109718543.3978
2026-01-21 12:10:00+00:00,BTCUSDT,88567.0,88567.0,88109.7,88350.0,3320.57,293355851.6002
2026-01-21 12:15:00+00:00,BTCUSDT,88350.5,88415.9,88227.8,88316.5,1298.585,114697980.9459
2026-01-21 12:20:00+00:00,BTCUSDT,88316.6,88455.5,88174.5,88409.6,878.534,77602633.9885
2026-01-21 12:25:00+00:00,BTCUSDT,88409.6,88409.6,88230.8,88317.1,750.882,66312329.9261
2026-01-21 12:30:00+00:00,BTCUSDT,88317.0,88465.6,88255.2,88463.9,821.427,72576446.4007
2026-01-21 12:35:00+00:00,BTCUSDT,88463.9,88633.4,88431.0,88616.9,883.624,78260346.7343
