streak_length,max_streak_level,start_time,end_time,first_entry_price,last_exit_price,streak_high,streak_low,price_range,total_loss,num_trades
8,6,2023-08-30 09:15:00,2023-12-15 13:00:00,27327.5,42481.59,49027.5,34016.8,15010.699999999997,-33700.0,8
9,9,2024-02-13 11:00:00,2024-04-09 13:45:00,49730.4,70122.43571428572,72890.4,59541.0,13349.399999999994,-33230.0,9
4,3,2024-06-26 10:00:00,2024-07-07 13:15:00,61320.0,56936.729999999996,64988.8,53329.5,11659.300000000003,-19800.0,4
3,3,2025-01-07 11:45:00,2025-01-18 08:00:00,100787.0,102403.27857142857,105289.9,102242.8,3047.0999999999913,-37800.0,3
7,6,2025-04-13 11:45:00,2025-07-04 07:45:00,84490.6,108682.03428571428,123300.0,92700.0,30600.0,-100131.75,7
