trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price,base_risk,adjusted_risk,streak_level_at_entry,consecutive_losses_at_entry,reduction_pct_at_entry,tier_at_entry,entry_adx,entry_regime
0,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,63.059654433093016,12499.99999999977,0.7506589211869615,False,0.75,0.75,19,100000.0,112499.99999999977,26327.51,26605.024999999998,5000,5000,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.295996996837452,trending
1,2023-11-19 11:00:00,36475.7,2023-11-19 11:15:00,36386.67714285714,stop_loss,56.165350792732184,-5000.0,-0.24406072300972903,False,0.5,0.5,1,112499.99999999977,107499.99999999977,36386.67714285714,36698.25714285714,5000,5000,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),27.010142063807614,trending
2,2023-11-23 11:00:00,37388.0,2023-11-23 11:15:00,37236.658571428576,stop_loss,33.037880289601546,-5000.0,-0.4047861040211414,False,0.5,0.5,1,107499.99999999977,102499.99999999977,37236.658571428576,37766.35357142857,5000,5000,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),27.562142590066287,trending
3,2025-12-19 03:30:00,87018.2,2025-12-19 15:15:00,89228.59035714285,take_profit,7.153713799421005,15812.499999999949,2.540147184316445,False,1.25,1.25,47,102499.99999999977,118312.49999999971,86249.36857142857,89228.59035714285,5000,5000,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),25.19429662507608,trending
