streak_length,max_streak_level,start_time,end_time,first_entry_price,last_exit_price,streak_high,streak_low,price_range,total_loss,num_trades
5,3,2024-03-29 05:15:00,2024-04-09 07:45:00,70411.4,70375.66285714287,72890.4,59541.0,13349.399999999994,-22925.0,5
4,3,2024-06-26 10:00:00,2024-07-07 13:15:00,61320.0,56936.729999999996,64988.8,53329.5,11659.300000000003,-12540.0,4
3,3,2025-01-07 11:45:00,2025-01-18 08:00:00,100787.0,102403.27857142857,105289.9,102242.8,3047.0999999999913,-29250.0,3
4,3,2025-04-13 11:45:00,2025-05-23 11:45:00,84490.6,110041.00428571428,111959.5,92700.0,19259.5,-57213.0,4
